"Store.no","Item.no","NS.ar","NS.diff","NS.ma","S.ar","S.diff","S.ma","AIC.value","SSE.value"
5,36,1,0,2,1,1,1,-1284.83853964672,34.0855010496163
5,37,1,0,1,1,1,1,7.55054102187296,83.3710207940227
5,38,1,0,1,1,1,1,-1472.75945510616,29.9672483872986
5,39,1,0,1,2,1,1,-564.738129111581,56.2067981492615
5,40,1,0,1,1,1,2,-59.1073507431502,79.6605756910164
5,41,1,0,1,2,1,1,567.516424005056,121.745843109891
5,42,1,0,1,1,1,1,-288.425365856313,67.7683133632264
5,43,1,0,1,1,1,1,-727.391098750783,50.1033233075014
5,44,1,0,2,1,1,1,64.1058956372599,86.2149788040752
5,45,1,0,1,2,1,1,-1391.0846938394,31.6766269531611
5,46,1,0,1,1,1,2,-887.410184930101,44.8108125525043
5,47,1,0,1,1,1,1,530.775916314919,119.016557476424
5,48,1,0,1,1,1,1,-759.807508721507,49.2015030556558
5,49,1,0,2,1,1,1,66.6082222018745,86.3771095157145
5,50,1,0,1,1,1,1,-1087.70243556063,39.3447782522059
6,1,1,0,1,1,1,1,579.051250710243,123.698992247748
6,2,1,0,1,1,1,1,-954.309503491962,43.1388181447223
6,3,1,0,1,2,1,1,-294.85082170857,67.3793520883144
6,5,1,0,1,1,1,1,865.122944533486,150.357581394198
6,6,1,0,1,1,1,1,-898.286479265199,44.529064930807
6,7,1,0,1,1,1,1,-943.391352411263,43.5567790554286
6,8,1,0,1,1,1,1,-1267.70455770656,34.50289519799
6,9,1,0,1,1,1,2,-768.238372457092,48.8369528298593
6,10,1,0,2,1,1,1,-1207.35243512191,35.9707116110754
6,11,1,0,2,1,1,1,-1252.85975507926,34.8590268257052
6,12,1,0,1,1,1,1,-1086.00541243277,39.2879757229955
6,13,1,0,1,1,1,1,-1464.62172939589,30.1713773913281
6,14,1,0,1,1,1,2,-962.473391986807,42.3469780202639
6,15,2,0,1,1,1,1,-1442.01442299933,30.5968830123971
6,16,1,0,1,2,1,1,278.141895457994,100.583888479758
6,17,1,0,1,1,1,1,-138.318985337334,75.4946258989459
6,18,1,0,1,1,1,1,-1441.86271477048,30.6136155756887
6,19,1,0,1,1,1,1,-326.895523115002,65.956495321089
6,20,1,0,1,1,1,1,-764.297386852999,49.0210975000007
6,21,1,0,1,1,1,1,-457.917883176627,60.5293669213678
6,22,1,0,1,1,1,1,-1390.23023065404,31.7360092091345
6,23,1,0,1,1,1,1,135.920696262008,90.6678842091376
6,24,1,0,1,1,1,2,-1108.18244228264,38.5079765899365
6,25,1,0,1,1,1,1,-1458.3281302599,30.2803611096307
6,26,1,0,1,2,1,1,-618.719354826485,54.1187719538569
6,27,1,0,2,1,1,1,528.698387172848,119.506526181938
6,28,1,0,1,1,1,1,-1494.48668770553,29.7744773593252
6,29,1,0,1,1,1,1,-1231.94514010335,35.3736174430103
6,30,1,0,1,1,1,1,-298.348115778824,67.2540615523175
6,31,1,0,1,2,1,1,-761.73643738501,48.8495268563488
6,32,1,0,1,1,1,2,-561.759877136246,56.0558078895531
6,33,1,0,2,1,1,1,-1144.38615028567,37.5501772342155
6,34,2,0,1,1,1,1,357.232033886672,106.107698825942
6,35,1,0,1,2,1,1,-1144.04644804728,37.5915742596508
6,36,1,0,1,2,1,1,-1270.43612357645,34.7150309317694
6,37,1,0,1,1,1,1,-21.1640289874067,81.3423141099289
6,38,1,0,1,1,1,1,-1382.67463583601,32.0444501677812
6,39,1,0,1,1,1,1,-399.730546485842,62.6783060118524
6,40,1,0,1,1,1,2,305.366760702482,102.329240542238
6,41,1,0,1,2,1,1,623.937588358871,127.399885362737
6,42,1,0,1,1,1,1,-334.637646771391,65.5097214171779
6,43,2,0,1,1,1,1,-798.765674948347,47.6245108846264
6,44,1,0,1,1,1,1,20.6937022993652,83.7271699725367
6,45,1,0,1,1,1,1,-1392.93123578519,31.8678440778235
6,46,1,0,1,2,1,1,-868.295744596195,45.3819645108255
6,47,1,0,2,1,1,1,476.572732560734,114.472236717921
6,48,2,0,1,1,1,1,-726.049508526208,50.214455210151
6,49,1,0,1,1,1,1,41.8216143594946,85.5106698407852
6,50,1,0,1,1,1,1,-1100.68352445154,38.8926035854221
7,1,1,0,1,2,1,1,717.717929989016,135.128423831406
7,2,1,0,1,1,1,1,-728.241796020674,50.037597341961
7,3,1,0,1,1,1,1,-71.2020609462797,78.9848473059694
7,4,1,0,1,1,1,1,602.458207374203,124.873942338527
7,5,1,0,1,1,1,1,915.455992217868,156.088178963799
7,6,1,0,1,1,1,1,-799.444296751345,47.6769131481241
7,7,1,0,2,1,1,1,-790.312141493686,47.8990628758454
7,8,1,0,1,1,1,1,-1159.95808781617,37.4574195405593
7,9,1,0,1,1,1,1,-546.982624417441,56.6832749369883
7,10,2,0,1,1,1,1,-1212.85386921841,36.0988611020272
7,11,1,0,1,1,1,1,-1126.05883581358,38.2973861794981
7,12,1,0,1,1,1,1,-970.812713936455,42.3231664277359
7,13,1,0,1,1,1,1,-1244.2441225615,35.1074227963337
7,14,1,0,1,1,1,1,-802.696465219989,47.9272007712369
7,15,1,0,1,1,1,1,-1297.22473772133,34.0181888873862
7,16,1,0,1,1,1,1,420.802703122101,110.328183329295
7,17,2,0,1,1,1,1,4.13023898080519,82.9358304020962
7,18,1,0,1,1,1,1,-1334.74658508216,32.9785726821551
7,19,1,0,2,1,1,1,-262.576494001815,69.3495167384938
7,20,1,0,1,2,1,1,-511.863267024042,58.1021840843219
7,21,1,0,1,1,1,1,-262.04409810088,68.9034240660957
7,22,1,0,1,1,1,1,-1227.43507650914,35.7837536581776
7,23,1,0,1,1,1,1,233.728811720512,97.6744754771822
7,24,1,0,1,1,1,2,-1065.88327246733,39.6300264668964
7,25,1,0,1,1,1,2,-1228.88140433385,35.5296998481121
7,26,1,0,1,1,1,1,-494.522474051998,58.7393806088934
7,27,1,0,1,1,1,1,691.387741079463,132.887976206827
